Serial Number,EDLP,ES File,Safe,Scratch,Whiteboard,WPS,Shareit,Kotobee,Inshot,Sketch,Erudex,100,Timezone,SD Card,Build Number
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,mauritius timezone
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone,working:64 GB,"TB-X6C6F_S100029_230114_ROW
"
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone,working:64 GB,"TB-X6C6F_S100029_230114_ROW
"
Device serial number: HNP094T2,Permissions missing,Permissions missing,Permissions missing,All permissions granted for Scratch.js app,All permissions granted for whiteboard app,All Permissions granted  For WPS app,All Permissions granted  For shareit app,All permissions granted for Kotobee app,All permissions granted for inshot app,All permissions granted for sketch app,True,100,Mauritius timezone,working:64 GB,"TB-X6C6F_S100029_230114_ROW
"
Device serial number: HNP094T2,Erudex:Failed,Esfile:Failed,Safe:Failed,Scratch.js:Granted,Whiteboard:Granted,WPS:Granted,Shareit:Granted,Kotobee:Granted,Inshot:Granted,Sketch:Granted,True,100,Mauritius timezone,working:64 GB,"TB-X6C6F_S100029_230114_ROW
"
